FIPS,Place,Name,qName,MS.MIL.XPND.ZS,MS.MIL.XPRT.KD,NE.CON.GOVT.CD,NE.CON.GOVT.CN,NE.CON.GOVT.KD,NE.CON.GOVT.KD.ZG,NE.CON.GOVT.KN,NE.CON.GOVT.ZS,NE.CON.PETC.CD
NGA,Nigeria,Nigeria,Nigeria,,,28552041344.9753,5648950000000,24228020332.9386,-11.897290416031,3641423000000,5.93515905756837,377325285131.225
NIC,Nicaragua,Nicaragua,Nicaragua,4.87006664078533,,975191188.987702,26580591200,863271598.021994,6.66343443671711,15663537400,7.64991340582728,9942575173.90156
NLD,Netherlands,Netherlands,Netherlands,2.81949164159506,474000000,190074082653.197,171382000000,218885275723.59,0.237810044917325,165268222500,25.332468135237,334759607391.431
NOCABW,Aruba,Aruba,"Aruba, High-income economies",,,,,,,,,
NOCAND,Andorra,Andorra,"Andorra, High-income economies",,,,,,,,,
NOCARE,United Arab Emirates,United Arab Emirates,"United Arab Emirates, High-income economies",,63000000,48741184479.2376,179002000000,44574070724.5285,-0.272595690075946,163698274735.831,13.6167882235731,204447438132.148
NOCARG,Argentina,Argentina,"Argentina, High-income economies",3.39937312285214,,108153621846.221,1082812431200,80113054449.0149,6.78843899576871,96649356300,18.4969210547127,382707351804.87
NOCATG,Antigua and Barbuda,Antigua and Barbuda,"Antigua and Barbuda, High-income economies",,,216920185.185185,585684500,293519616.557734,40.4157043879908,608000000,16.0012424308664,911351740.740741
NOCBHR,Bahrain,Bahrain,"Bahrain, High-income economies",,,5492021276.59575,2065000000,4903862978.7234,0.326441784548422,1844000000,17.6445658155122,14024787234.0426
NOCBMU,Bermuda,Bermuda,"Bermuda, High-income economies",,,,,,,,,
NOCBRB,Barbados,Barbados,"Barbados, High-income economies",,,641449150,1282898300,546400731.500216,2.34889862849008,166174900,14.5065165769596,3572793350
NOCBRN,Brunei Darussalam,Brunei Darussalam,"Brunei Darussalam, High-income economies",,,3240235653.50207,4455000000,3266593325.99927,-3.5930735930736,4454000000,25.059061761728,2608189686.52266
NOCCHI,Channel Islands,Channel Islands,"Channel Islands, High-income economies",,,,,,,,,
NOCCUW,Curacao,Curacao,"Curacao, High-income economies",,,,,,,,,
NOCCYM,Cayman Islands,Cayman Islands,"Cayman Islands, High-income economies",,,,,,,,,
NOCCYP,Cyprus,Cyprus,"Cyprus, High-income economies",4.32852646219164,,3074414993.90041,2772200000,3960895325.71236,-0.599328141701022,2603900000,15.7179144081827,13590551181.1024
NOCFRO,Faroe Islands,Faroe Islands,"Faroe Islands, High-income economies",,,,,,,,,
NOCGNQ,Equatorial Guinea,Equatorial Guinea,"Equatorial Guinea, High-income economies",,,2471509401.9016,1461773000000,2621549846.30882,-4.74459913088207,1004242693100,20.3213743562103,5271241655.96556
NOCGRL,Greenland,Greenland,"Greenland, High-income economies",,,1098411094.10069,7390000000,1205757365.62294,-1.88097752955305,6781300000,49.4694915821535,970659492.560829
NOCGUM,Guam,Guam,"Guam, High-income economies",,,,,,,,,
NOCHRV,Croatia,Croatia,"Croatia, High-income economies",,,9588228846.79877,65758949900,11760296616.9516,-0.286392448824714,64658110800,19.6979269453822,28600810681.9474
NOCIMN,Isle of Man,Isle of Man,"Isle of Man, High-income economies",,,,,,,,,
NOCKNA,St. Kitts and Nevis,St. Kitts and Nevis,"St. Kitts and Nevis, High-income economies",,,124007407.407407,334820000,,,,14.1483675352223,539173000
NOCKWT,Kuwait,Kuwait,"Kuwait, High-income economies",9.24007028896575,,28005982053.8385,8427000000,25411723656.6643,-0.478272752118073,7283000000,24.5577735684103,47125290794.2838
NOCLIE,Liechtenstein,Liechtenstein,"Liechtenstein, High-income economies",,,,,,,,,
NOCLTU,Lithuania,Lithuania,"Lithuania, High-income economies",11.8502920904367,,7278328591.17181,6562570200,7579896911.98816,0.938297326800324,5723162900,17.5796451804162,26158116653.1825
NOCLVA,Latvia,Latvia,"Latvia, High-income economies",2.46465919703269,,4873840539.44373,4394542000,4822214876.61707,3.05491816293934,3640989000,18.0338701940626,16485080981.11
NOCMCO,Monaco,Monaco,"Monaco, High-income economies",,,,,,,,,
NOCMLT,Malta,Malta,"Malta, High-income economies",1.30854627387211,5000000,1874516111.71121,1690251177.93,2054710139.01422,3.82441763268824,1551306154.95574,18.2221719870141,5159095926.40812
NOCMNP,Northern Mariana Islands,Northern Mariana Islands,"Northern Mariana Islands, High-income economies",,,,,,,,,
NOCNCL,New Caledonia,New Caledonia,"New Caledonia, High-income economies",,,,,,,,,
NOCOMN,Oman,Oman,"Oman, High-income economies",,,19164609319.4536,7368792283.3299,17462909265.1093,0.799999999999869,6714488612.43452,27.4439686209268,23113199098.5142
NOCPRI,Puerto Rico,Puerto Rico,"Puerto Rico, High-income economies",,,,,,,,,
NOCPYF,French Polynesia,French Polynesia,"French Polynesia, High-income economies",,,,,,,,,
NOCQAT,Qatar,Qatar,"Qatar, High-income economies",,,32546703296.7033,118470000000,29230064027.1125,1.13150594106048,115923000000,19.7682276675093,36176098901.0989
NOCSAU,Saudi Arabia,Saudi Arabia,"Saudi Arabia, High-income economies",,,196303733333.333,736139000000,164476110819.401,-1.75118703034747,616785415572.755,30.0034790637042,263681841632.429
NOCSGP,Singapore,Singapore,"Singapore, High-income economies",19.1521330689827,48000000,31564300261.8563,43394600000,27952988632.1966,7.98301233560552,38113900000,10.6334137554687,108869653767.821
NOCSMR,San Marino,San Marino,"San Marino, High-income economies",,,,,,,,,
NOCSYC,Seychelles,Seychelles,"Seychelles, High-income economies",4.33958464370784,,377807113.604656,5037000000,,,,26.2781719532554,
NOCTCA,Turks and Caicos Islands,Turks and Caicos Islands,"Turks and Caicos Islands, High-income economies",,,,,,,,,
NOCTTO,Trinidad and Tobago,Trinidad and Tobago,"Trinidad and Tobago, High-income economies",,,3854533148.24543,24581899699.6204,2884940829.07176,0.562265341783672,9386588489.87484,16.3609920328661,16501723589.3106
NOCURY,Uruguay,Uruguay,"Uruguay, High-income economies",8.4039410486602,,7370931508.30302,201428393700,6146355770.16472,2.15021905620904,70989568700,13.8358099968444,35603930267.7898
NOCVIR,Virgin Islands (U.S.),Virgin Islands (U.S.),"Virgin Islands (U.S.), High-income economies",,,,,,,,,
NOR,Norway,Norway,Norway,3.87772922875411,240000000,90188116151.6999,727292000000,99698164632.5658,2.0804670611176,602592323400,23.3298357975937,166329027591.196
NPL,Nepal,Nepal,Nepal,9.64758262201608,,2337258154.39449,232532177700,2309609478.74277,7.41696496471313,84089285200,10.9660671291019,17102482843.8837
NZL,New Zealand,New Zealand,New Zealand,3.44873238391012,1000000,32736972401.8899,46944000000,31397906673.6032,2.66708421722095,43575077000,18.6467001648428,101539427116.93
OECAUS,Australia,Australia,"Australia, High-income OECD members",7.36669682549549,83000000,244110158915.051,293396000000,230704791181.118,2.3023574494496,293396000000,18.144285523458,761005907313.42
OECAUT,Austria,Austria,"Austria, High-income OECD members",1.43660421054721,9000000,75101887610.2966,67716290000,82534344260.9215,2.07064523499683,62317140000,19.9226475248138,198142310563.623
OECBEL,Belgium,Belgium,"Belgium, High-income OECD members",2.20724671074969,11000000,108756197378.109,98061000000,119228295431.624,0.323820833574317,90022722600,23.9029170231592,233074819793.794
OECCAN,Canada,Canada,"Canada, High-income OECD members",5.74492135727607,357000000,326581727191.86,417730000000,359784943246.815,1.47238611045654,370637058400,21.0316922877082,893320991231.52
